trade_date,universe_count,d1_missing_daily_count,d1_price_fail_count,d1_liquidity_fail_count,d1_non_common_fail_count,d1_market_cap_fail_count,d1_gap_fail_count,d1_rel_vol_fail_count,d1_close_strength_fail_count,watchlist_count,scan_missing_first5_count,scan_gap_fail_count,scan_range_fail_count,scan_oc_ret_fail_count,scan_pace_fail_count,scan_vwap_fail_count,candidate_0935_count
2026-01-14,2000,33,624,1164,6,30,130,13,0,0,0,0,0,0,0,0,0
2026-01-15,2000,30,626,1163,6,31,137,5,1,1,0,1,1,1,0,1,0
2026-01-16,2000,26,623,1168,6,30,139,8,0,0,0,0,0,0,0,0,0
2026-01-20,2000,22,622,1172,7,31,142,2,1,1,0,1,0,1,0,0,0
2026-01-21,2000,21,621,1172,7,31,135,11,1,1,0,0,1,0,0,1,0
2026-01-22,2000,20,626,1170,7,30,115,30,1,1,0,1,0,0,0,1,0
2026-01-23,2000,20,623,1173,7,30,131,15,0,1,0,1,0,0,0,1,0
2026-01-26,2000,20,625,1170,7,30,137,9,1,1,0,0,0,0,0,0,1
2026-01-27,2000,20,625,1162,7,31,143,10,2,0,0,0,0,0,0,0,0
2026-01-28,2000,20,622,1159,8,33,149,8,1,0,0,0,0,0,0,0,0
2026-01-29,2000,19,623,1152,8,34,144,14,5,1,0,1,1,1,0,1,0
2026-01-30,2000,19,627,1146,6,34,145,19,3,1,0,1,0,0,1,0,0
2026-02-02,2000,18,633,1140,6,34,166,3,0,0,0,0,0,0,0,0,0
2026-02-03,2000,17,633,1144,6,33,160,6,1,0,0,0,0,0,0,0,0
2026-02-04,2000,16,634,1138,8,34,141,27,1,1,0,1,1,1,0,1,0
2026-02-05,2000,16,640,1132,8,35,151,13,2,3,1,1,1,1,2,1,0
2026-02-06,2000,16,645,1124,7,37,167,2,1,1,1,0,0,0,0,0,0
2026-02-09,2000,16,642,1131,8,34,109,57,1,2,1,1,0,0,0,0,0
2026-02-10,2000,16,642,1131,9,34,162,5,0,1,1,0,0,0,0,0,0
2026-02-11,2000,16,637,1133,9,37,161,5,1,1,1,0,0,0,0,0,0
2026-02-12,2000,16,644,1125,9,36,142,26,0,2,1,0,0,0,1,0,0
2026-02-13,2000,16,647,1120,9,36,162,6,2,2,1,1,1,1,0,1,0
2026-02-17,2000,16,643,1122,9,35,152,19,2,2,1,1,1,1,1,1,0
2026-02-18,2000,16,644,1120,9,37,160,13,0,1,1,0,0,0,0,0,0
2026-02-19,2000,16,643,1121,9,36,162,9,3,1,1,0,0,0,0,0,0
2026-02-20,2000,16,646,1119,8,35,171,4,0,1,1,0,0,0,0,0,0
2026-02-23,2000,16,642,1124,8,34,171,4,0,1,1,0,0,0,0,0,0
2026-02-24,2000,16,640,1121,8,36,175,3,0,1,1,0,0,0,0,0,0
2026-02-25,2000,15,642,1121,8,35,171,5,1,2,1,1,1,1,0,1,0
2026-02-26,2000,15,644,1117,8,35,159,19,2,1,1,0,0,0,0,0,0
2026-02-27,2000,15,640,1121,8,35,165,10,3,3,1,2,1,2,1,1,0
2026-03-02,2000,15,644,1119,7,35,172,6,0,2,1,1,0,0,0,0,0
2026-03-03,2000,15,642,1123,8,34,167,10,0,1,1,0,0,0,0,0,0
2026-03-04,2000,15,639,1120,10,36,175,3,0,2,1,1,1,0,1,1,0
2026-03-05,2000,15,634,1129,10,35,148,26,2,1,1,0,0,0,0,0,0
2026-03-06,2000,15,634,1125,10,36,174,4,0,2,1,1,0,0,0,0,0
2026-03-09,2000,15,633,1127,10,37,173,3,0,2,1,1,1,0,0,1,0
2026-03-10,2000,15,634,1129,10,37,171,3,0,1,1,0,0,0,0,0,0
2026-03-11,2000,15,630,1131,10,38,167,8,0,1,1,0,0,0,0,0,0
2026-03-12,2000,15,628,1139,10,36,166,5,0,1,1,0,0,0,0,0,0
2026-03-13,2000,15,627,1134,10,37,169,5,1,2,1,0,1,1,0,1,0
2026-03-16,2000,15,627,1137,10,36,156,18,0,1,1,0,0,0,0,0,0
2026-03-17,2000,15,627,1141,11,36,139,27,1,3,1,1,2,1,1,2,0
2026-03-18,2000,15,633,1138,10,35,147,19,1,2,1,0,0,0,0,0,1
2026-03-19,2000,15,633,1138,10,37,163,3,0,1,1,0,0,0,0,0,0
2026-03-20,2000,15,634,1131,10,38,168,2,1,1,1,0,0,0,0,0,0
2026-03-23,2000,15,637,1129,10,38,165,5,0,1,1,0,0,0,0,0,0
2026-03-24,2000,15,639,1128,10,39,111,54,2,2,1,1,0,0,0,0,0
2026-03-25,2000,15,638,1130,10,38,166,2,0,1,1,0,0,0,0,0,0
2026-03-26,2000,15,642,1126,11,37,109,56,3,1,1,0,0,0,0,0,0
2026-03-27,2000,15,646,1123,9,38,166,2,0,1,1,0,0,0,0,0,0
2026-03-30,2000,15,640,1130,9,40,161,3,1,1,1,0,0,0,0,0,0
2026-03-31,2000,15,638,1131,9,40,146,17,2,2,1,1,1,1,1,1,0
2026-04-01,2000,15,645,1126,9,37,109,52,3,4,1,0,0,0,1,0,2
2026-04-02,2000,15,646,1124,9,38,139,28,0,1,1,0,0,0,0,0,0
2026-04-06,2000,15,639,1129,10,37,159,10,0,1,1,0,0,0,0,0,0
2026-04-07,2000,15,642,1132,10,36,157,7,0,1,1,0,0,0,0,0,0
2026-04-08,2000,15,640,1135,9,35,160,3,2,1,1,0,0,0,0,0,0
2026-04-09,2000,15,644,1135,11,34,52,105,3,1,1,0,0,0,0,0,0
2026-04-10,2000,15,646,1131,11,35,158,3,0,1,1,0,0,0,0,0,0
2026-04-13,2000,15,652,1125,11,34,149,11,1,2,1,1,1,1,1,1,0
2026-04-14,2000,15,646,1129,11,33,156,8,1,1,1,0,0,0,0,0,0
2026-04-15,2000,14,644,1132,12,34,132,31,0,1,1,0,0,0,0,0,0
2026-04-16,2000,14,637,1138,12,34,145,15,3,2,1,1,1,1,1,0,0
2026-04-17,2000,14,642,1134,12,33,144,20,0,1,1,0,0,0,0,0,0
