trade_date,watchlist_count,candidate_0935_count,missing_first5_count,no_minute_bars
2026-01-14,0,0,0,0.0
2026-01-15,1,0,0,0.0
2026-01-16,0,0,0,0.0
2026-01-20,1,0,0,0.0
2026-01-21,1,0,0,0.0
2026-01-22,1,1,0,0.0
2026-01-23,1,0,0,0.0
2026-01-26,1,1,0,0.0
2026-01-27,0,0,0,0.0
2026-01-28,0,0,0,0.0
2026-01-29,1,0,0,0.0
2026-01-30,1,0,0,0.0
2026-02-02,0,0,0,0.0
2026-02-03,0,0,0,0.0
2026-02-04,1,0,0,0.0
2026-02-05,3,0,1,1.0
2026-02-06,1,0,1,1.0
2026-02-09,2,0,1,1.0
2026-02-10,1,0,1,1.0
2026-02-11,1,0,1,1.0
2026-02-12,2,0,1,1.0
2026-02-13,2,0,1,1.0
2026-02-17,2,0,1,1.0
2026-02-18,1,0,1,1.0
2026-02-19,1,0,1,1.0
2026-02-20,1,0,1,1.0
2026-02-23,1,0,1,1.0
2026-02-24,1,0,1,1.0
2026-02-25,2,0,1,1.0
2026-02-26,1,0,1,1.0
2026-02-27,3,0,1,1.0
2026-03-02,2,0,1,1.0
2026-03-03,1,0,1,1.0
2026-03-04,2,0,1,1.0
2026-03-05,1,0,1,1.0
2026-03-06,2,0,1,1.0
2026-03-09,2,0,1,1.0
2026-03-10,1,0,1,1.0
2026-03-11,1,0,1,1.0
2026-03-12,1,0,1,1.0
2026-03-13,2,0,1,1.0
2026-03-16,1,0,1,1.0
2026-03-17,3,0,1,1.0
2026-03-18,2,1,1,1.0
2026-03-19,1,0,1,1.0
2026-03-20,1,0,1,1.0
2026-03-23,1,0,1,1.0
2026-03-24,2,0,1,1.0
2026-03-25,1,0,1,1.0
2026-03-26,1,0,1,1.0
2026-03-27,1,0,1,1.0
2026-03-30,1,0,1,1.0
2026-03-31,2,0,1,1.0
2026-04-01,4,2,1,1.0
2026-04-02,1,0,1,1.0
2026-04-06,1,0,1,1.0
2026-04-07,1,0,1,1.0
2026-04-08,1,0,1,1.0
2026-04-09,1,0,1,1.0
2026-04-10,1,0,1,1.0
2026-04-13,2,0,1,1.0
2026-04-14,1,0,1,1.0
2026-04-15,1,0,1,1.0
2026-04-16,2,0,1,1.0
2026-04-17,1,0,1,1.0
