dimension,bucket,branch_label,trade_count,win_rate,avg_trade_ret,expectancy,avg_MFE,avg_MAE
calendar_year,2025,continuation_compare,13,0.3076923076923077,-3.2372044348168427,-3.237204434816843,6.326125357738667,-6.558651276632353
calendar_year,2026,continuation_compare,6,0.5,-1.4464785316651867,-1.4464785316651871,3.1889152096847315,-4.50248498082281
calendar_year,2025,reclaim_first5_high,14,0.42857142857142855,-0.701596252598267,-0.7015962525982669,2.962377962717643,-3.3354418578238065
calendar_year,2026,reclaim_first5_high,10,0.6,2.379739117759977,2.3797391177599767,5.942612864704651,-3.81752653000288
calendar_year,2025,reclaim_vwap,16,0.5,0.2463521869756249,0.2463521869756249,3.9172621300519186,-2.6095130192548064
calendar_year,2026,reclaim_vwap,10,0.6,1.7878342187055694,1.7878342187055694,7.259206001266525,-2.8779167341975294
quarter_label,2025-Q2,continuation_compare,3,0.3333333333333333,-7.163688238274992,-7.163688238274992,15.08899913470272,-9.89050641401311
quarter_label,2025-Q3,continuation_compare,9,0.2222222222222222,-2.656376649294573,-2.656376649294573,3.718487456074928,-6.084482072141903
quarter_label,2025-Q4,continuation_compare,1,1.0,3.31479690585718,3.31479690585718,3.5062451418201683,-0.830608704904141
quarter_label,2026-Q1,continuation_compare,5,0.6,-1.0654060933588239,-1.065406093358824,3.8366932541204255,-3.1410799990335443
quarter_label,2026-Q2,continuation_compare,1,0.0,-3.3518407231970015,-3.3518407231970015,-0.0499750124937382,-11.309509889769137
quarter_label,2025-Q2,reclaim_first5_high,4,0.75,1.8104677725220668,1.8104677725220668,3.4574209631459545,-2.662751591325851
quarter_label,2025-Q3,reclaim_first5_high,4,0.5,-0.030881581688804283,-0.030881581688804283,5.180614392673397,-1.7144133927993357
quarter_label,2025-Q4,reclaim_first5_high,6,0.16666666666666666,-2.823448716618131,-2.8234487166181315,1.153525009128266,-4.864587678838759
quarter_label,2026-Q1,reclaim_first5_high,10,0.6,2.379739117759977,2.3797391177599767,5.942612864704651,-3.81752653000288
quarter_label,2025-Q2,reclaim_vwap,5,0.6,1.1794948138607562,1.1794948138607564,4.229969554632437,-1.6296690606038957
quarter_label,2025-Q3,reclaim_vwap,4,1.0,3.528611088879712,3.528611088879712,7.4264828714417455,-0.43330259990927406
quarter_label,2025-Q4,reclaim_vwap,7,0.14285714285714285,-2.2957547761732333,-2.2957547761732333,1.688630688843076,-4.552950372202903
quarter_label,2026-Q1,reclaim_vwap,10,0.6,1.7878342187055694,1.7878342187055694,7.259206001266525,-2.8779167341975294
sector,Basic Materials,continuation_compare,3,0.3333333333333333,-3.0390389767895893,-3.0390389767895902,3.373909504770861,-4.34808395945142
sector,Consumer Cyclical,continuation_compare,2,0.5,-0.8167621644249259,-0.8167621644249259,2.791433202828177,-3.3545163855214226
sector,Financial Services,continuation_compare,3,0.0,-9.006583879154512,-9.006583879154512,14.987647153813143,-12.600099450148276
sector,Healthcare,continuation_compare,5,0.4,-1.6935674419817244,-1.693567441981724,3.2505822834454947,-5.485483682555455
sector,Industrials,continuation_compare,1,0.0,-3.3518407231970015,-3.3518407231970015,-0.0499750124937382,-11.309509889769137
sector,Technology,continuation_compare,5,0.6,-0.23449160256445936,-0.23449160256445944,4.900529624513796,-3.197373035753823
sector,Basic Materials,reclaim_first5_high,4,0.5,3.456064936539747,3.456064936539747,6.439086367595424,-2.414924755171227
sector,Communication Services,reclaim_first5_high,1,0.0,-1.2745031560434068,-1.2745031560434068,0.18417310164222037,-2.719263513643775
sector,Consumer Cyclical,reclaim_first5_high,2,0.5,1.1157184502986732,1.1157184502986732,2.4680913511498304,-1.9663448698930928
sector,Financial Services,reclaim_first5_high,1,1.0,0.9183578440920579,0.9183578440920579,4.2166370415386245,-0.9403983976831186
sector,Healthcare,reclaim_first5_high,6,0.3333333333333333,-2.321169958472185,-2.3211699584721854,1.5845282536146208,-7.444920199561653
sector,Industrials,reclaim_first5_high,4,0.75,2.3332876704420915,2.3332876704420924,6.410769632151749,-2.8387095569652754
sector,Real Estate,reclaim_first5_high,1,1.0,3.8668323739520947,3.8668323739520947,9.111057619104484,-0.04997501249374664
sector,Technology,reclaim_first5_high,5,0.4,-0.19949419969366006,-0.1994941996936599,4.308955227966422,-2.309013240007867
sector,Basic Materials,reclaim_vwap,4,0.75,3.7280058872109776,3.7280058872109776,8.911465000043094,-0.902359241268098
sector,Communication Services,reclaim_vwap,1,0.0,-1.0104112747119678,-1.0104112747119678,0.45211267964502744,-2.4590890901296745
sector,Consumer Cyclical,reclaim_vwap,2,0.5,1.7280980810362063,1.7280980810362063,3.829318642130909,-1.0116143798731145
sector,Energy,reclaim_vwap,1,0.0,-0.9490641340500632,-0.9490641340500632,1.4481789973104338,-2.3343056880577424
sector,Financial Services,reclaim_vwap,1,1.0,2.4536743732123165,2.4536743732123165,5.163854217055,-0.339558588180697
sector,Healthcare,reclaim_vwap,7,0.2857142857142857,-1.0420051187623225,-1.0420051187623225,2.274077450683938,-6.29178859930658
sector,Industrials,reclaim_vwap,4,0.75,1.280992646383114,1.280992646383114,7.699533088857611,-2.0011696753881214
sector,Real Estate,reclaim_vwap,1,1.0,1.8097692826745388,1.8097692826745388,10.256709414459934,0.9994871416766774
sector,Technology,reclaim_vwap,5,0.6,0.6635708932856692,0.6635708932856691,5.5852453980746715,-1.7436089607687184
price_bucket,03-10,continuation_compare,7,0.42857142857142855,-4.087858266238511,-4.087858266238512,9.41585477241161,-7.442841238315649
price_bucket,10-20,continuation_compare,8,0.25,-2.8795563278339156,-2.8795563278339156,2.623864508829861,-6.380763780845427
price_bucket,20-40,continuation_compare,1,1.0,3.31479690585718,3.31479690585718,3.5062451418201683,-0.830608704904141
price_bucket,40+,continuation_compare,3,0.3333333333333333,-0.808622420708784,-0.8086224207087842,3.6549920964569154,-2.766922953760119
price_bucket,03-10,reclaim_first5_high,9,0.4444444444444444,-0.9341498829906428,-0.9341498829906432,3.725077625071916,-5.073333611569797
price_bucket,10-20,reclaim_first5_high,9,0.6666666666666666,2.5129090293255,2.512909029325499,5.638010279633333,-2.4682740359627324
price_bucket,20-40,reclaim_first5_high,5,0.4,0.6322478693499304,0.6322478693499305,2.683012755452209,-2.6485786656031842
price_bucket,40+,reclaim_first5_high,1,0.0,-3.395028022539328,-3.395028022539328,3.2165652054852325,-3.7540891537534016
price_bucket,03-10,reclaim_vwap,9,0.5555555555555556,0.21293180936345568,0.21293180936345557,5.276336207822821,-4.092865380405912
price_bucket,10-20,reclaim_vwap,9,0.7777777777777778,2.3868326591444013,2.386832659144401,7.131663581524849,-1.63899457884577
price_bucket,20-40,reclaim_vwap,6,0.3333333333333333,0.3280986388668174,0.328098638866817,3.180066379788602,-2.0450776475212353
price_bucket,40+,reclaim_vwap,2,0.0,-1.773247435552962,-1.773247435552962,2.257928855317659,-3.3370850658298257
market_cap_bucket,2b_to_10b,continuation_compare,9,0.2222222222222222,-2.212247990311016,-2.2122479903110164,2.4803788976894676,-6.022419630452303
market_cap_bucket,300m_to_2b,continuation_compare,6,0.5,-4.270005335742665,-4.270005335742664,9.864524107034878,-6.752590141087179
market_cap_bucket,50m_to_300m,continuation_compare,2,0.0,-5.732462572677351,-5.732462572677351,5.092213504253864,-8.209698557848128
market_cap_bucket,gt_10b,continuation_compare,2,1.0,3.1163301149998794,3.1163301149998794,4.839069589394437,-0.5703309224336949
market_cap_bucket,2b_to_10b,reclaim_first5_high,11,0.5454545454545454,0.17956368638471043,0.1795636863847101,4.405583012302132,-3.0233000242399033
market_cap_bucket,300m_to_2b,reclaim_first5_high,7,0.42857142857142855,0.9198261085053826,0.9198261085053825,5.09067608093343,-5.4017879049472555
market_cap_bucket,gt_10b,reclaim_first5_high,6,0.5,0.9268433885757568,0.9268433885757569,2.8005457372060096,-2.3004392847153943
market_cap_bucket,2b_to_10b,reclaim_vwap,11,0.6363636363636364,0.5202801454332531,0.5202801454332528,5.570525191387334,-2.380592014930095
market_cap_bucket,300m_to_2b,reclaim_vwap,7,0.5714285714285714,1.955044428632813,1.9550444286328124,7.17109758266821,-4.092443768509122
market_cap_bucket,gt_10b,reclaim_vwap,8,0.375,0.30144807230877724,0.3014480723087771,2.9743492386947263,-1.9622196382821615
