trade_date,symbol,branch_label,regime_label,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,trade_ret,MFE,MAE,first5_range_pos,first5_pace,close_vs_vwap
2026-01-20,CTMX,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2026-01-20T09:38:00-05:00,5.35,5.12,5.809999999999999,2026-01-20T15:55:00-05:00,5.415,time_exit,1.2149532710280448,4.112149532710293,-0.9345794392523332,0.6086956521739129,3.90014162045937,0.03591030960716779
2026-01-20,CTMX,reclaim_vwap,regime_b_open_at_or_below_prev_close,2026-01-20T09:35:00-05:00,5.258512900481995,5.12,5.535538701445986,2026-01-20T09:54:00-05:00,5.535538701445986,target,5.268139609177305,5.923482653992426,-0.16188798322078804,0.6086956521739129,3.90014162045937,0.03591030960716779
2026-01-22,ALM,continuation_compare,regime_a_open_above_prev_close,2026-01-22T10:20:00-05:00,10.28,10.12,10.6,2026-01-22T11:21:00-05:00,10.6,target,3.1128404669260727,4.182879377431922,-0.24319066147858542,0.6562500000000021,4.0278817825537985,-0.03835198977624188
2026-02-05,AGI,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2026-02-05T09:35:00-05:00,40.025,39.44,41.195,2026-02-05T09:57:00-05:00,39.44,stop,-1.4615865084322321,0.6870705808869422,-6.108682073703936,0.8547008547008534,1.4969266347336967,0.045096887508178085
2026-02-05,AGI,reclaim_vwap,regime_b_open_at_or_below_prev_close,2026-02-05T09:35:00-05:00,39.93625802506879,39.44,40.92877407520637,2026-02-05T09:57:00-05:00,39.44,stop,-1.2426252473561235,0.9108063522197815,-5.900047078997035,0.8547008547008534,1.4969266347336967,0.045096887508178085
2026-02-09,BILL,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2026-02-09T09:36:00-05:00,49.11,47.5,52.33,2026-02-09T09:48:00-05:00,47.5,stop,-3.2783547139075533,3.268173488087974,-3.7059661983302794,1.0,3.7743750659277104,0.9355377397945119
2026-02-09,BILL,reclaim_vwap,regime_b_open_at_or_below_prev_close,2026-02-09T09:36:00-05:00,48.7125286899216,47.5,51.137586069764794,2026-02-09T09:48:00-05:00,47.5,stop,-2.4891516054112475,4.110793185927767,-2.9202521983136416,1.0,3.7743750659277104,0.9355377397945119
2026-02-27,BFLY,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2026-02-27T09:36:00-05:00,4.67,4.45,5.109999999999999,2026-02-27T09:52:00-05:00,4.45,stop,-4.710920770877939,0.2141327623126293,-21.627408993576015,0.8636363636363623,1.520787987369122,1.0532585866169342
2026-02-27,BFLY,reclaim_vwap,regime_b_open_at_or_below_prev_close,2026-02-27T09:35:00-05:00,4.582367076851637,4.45,4.84710123055491,2026-02-27T09:52:00-05:00,4.45,stop,-2.888617926754587,2.1306220455704468,-20.128616092566695,0.8636363636363623,1.520787987369122,1.0532585866169342
2026-03-02,ABR,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2026-03-02T09:36:00-05:00,7.91,7.76,8.21,2026-03-02T10:35:00-05:00,8.21,target,3.792667509481678,9.165613147914028,0.0,1.0,1.6080227095394375,1.337805227846145
2026-03-02,ABR,reclaim_vwap,regime_b_open_at_or_below_prev_close,2026-03-02T09:36:00-05:00,7.8278090317642555,7.76,7.963427095292767,2026-03-02T09:36:00-05:00,7.963427095292767,target,1.732516250437261,10.311837769167155,1.0499868852475087,1.0,1.6080227095394375,1.337805227846145
2026-03-06,AMPX,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2026-03-06T09:36:00-05:00,15.13,14.665,16.060000000000002,2026-03-06T10:06:00-05:00,16.060000000000002,target,6.146728354263063,14.210178453403834,-0.727032385988111,0.9462365591397843,2.1843110307238294,1.1641089036659613
2026-03-06,AMPX,reclaim_vwap,regime_b_open_at_or_below_prev_close,2026-03-06T09:35:00-05:00,14.912548766642583,14.665,15.407646299927752,2026-03-06T09:42:00-05:00,15.407646299927752,target,3.320006130626286,15.875564066238601,-0.6206099848578702,0.9462365591397843,2.1843110307238294,1.1641089036659613
2026-03-18,BTSG,continuation_compare,regime_a_open_above_prev_close,2026-03-18T10:00:00-04:00,43.87,42.855,45.9,2026-03-18T15:55:00-04:00,43.045,time_exit,-1.880556188739448,1.7323911556872695,-2.1198997036699336,0.9507389162561605,6.673722930307994,0.5901535405856917
2026-03-24,CNH,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2026-03-24T09:37:00-04:00,10.22,9.93,10.800000000000002,2026-03-24T11:51:00-04:00,10.800000000000002,target,5.6751467710372,5.724070450097838,-0.39138943248533187,0.8965517241379275,2.832721138894079,0.7971233735229344
2026-03-24,CNH,reclaim_vwap,regime_b_open_at_or_below_prev_close,2026-03-24T09:35:00-04:00,10.115735922759434,9.93,10.487207768278303,2026-03-24T10:12:00-04:00,10.487207768278303,target,3.6722177047256923,6.813780850978797,0.6352882057347661,0.8965517241379275,2.832721138894079,0.7971233735229344
2026-04-01,AMPX,continuation_compare,regime_a_open_above_prev_close,2026-04-01T09:38:00-04:00,17.31,16.75,18.429999999999996,2026-04-01T09:51:00-04:00,16.75,stop,-3.23512420566146,0.0,-11.265164644714035,0.8571428571428599,3.4083591261717956,1.5718720130110775
