trade_date,branch,symbol,gate_fail_reason,skip_reason
2026-03-24,continuation_compare,CNH,regime_fail,gate_fail
2026-03-31,continuation_compare,BBWI,vwap_fail|range_fail|pace_fail,gate_fail
2026-03-31,reclaim_first5_high,BBWI,regime_fail|vwap_fail|range_fail|pace_fail,not_regime_b
2026-03-31,reclaim_vwap,BBWI,regime_fail|vwap_fail|range_fail|pace_fail,not_regime_b
2026-04-01,continuation_compare,CMPX,pace_fail,gate_fail
2026-04-01,reclaim_first5_high,ALKS,regime_fail,not_regime_b
2026-04-01,reclaim_first5_high,AMPX,regime_fail,not_regime_b
2026-04-01,reclaim_first5_high,CMPX,regime_fail|pace_fail,not_regime_b
2026-04-01,reclaim_vwap,ALKS,regime_fail,not_regime_b
2026-04-01,reclaim_vwap,AMPX,regime_fail,not_regime_b
2026-04-01,reclaim_vwap,CMPX,regime_fail|pace_fail,not_regime_b
2026-04-13,continuation_compare,ASST,regime_fail|vwap_fail|range_fail|pace_fail,gate_fail
2026-04-13,reclaim_first5_high,ASST,vwap_fail|range_fail,gate_fail
2026-04-13,reclaim_vwap,ASST,vwap_fail|range_fail,gate_fail
2026-04-16,continuation_compare,ANNX,regime_fail|range_fail|pace_fail,gate_fail
2026-04-16,reclaim_first5_high,ANNX,range_fail|pace_fail,gate_fail
2026-04-16,reclaim_vwap,ANNX,range_fail|pace_fail,gate_fail
