trade_date,branch,candidate_count,gate_pass_count,trigger_touch_count,entry_count,closed_trades,win_rate,realized_pnl_usd,realized_pnl_pct,avg_hold_min,no_trigger_count,invalid_risk_count,entry_window_closed_count,exit_reason_target,exit_reason_time_exit
2026-03-20,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-20,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-20,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-23,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-23,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-23,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-24,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,
2026-03-24,reclaim_first5_high,1,1,1,1,1,1.0,89.86440621600002,5.109651416952973,368.0,0,0,0,0.0,1.0
2026-03-24,reclaim_vwap,1,1,1,1,1,1.0,101.91091704164825,3.7708653867940414,37.0,0,0,0,1.0,0.0
2026-03-25,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-25,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-25,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-26,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-26,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-26,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-27,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-27,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-27,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-30,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-30,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-30,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,
2026-03-31,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,
2026-03-31,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,
2026-03-31,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,
2026-04-01,continuation_compare,3,2,0,0,0,,0.0,,,2,0,0,,
2026-04-01,reclaim_first5_high,3,0,0,0,0,,0.0,,,0,0,0,,
2026-04-01,reclaim_vwap,3,0,0,0,0,,0.0,,,0,0,0,,
2026-04-02,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-02,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-02,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-06,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-06,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-06,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-07,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-07,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-07,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-08,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-08,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-08,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-09,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-09,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-09,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-10,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-10,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-10,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-13,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,
2026-04-13,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,
2026-04-13,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,
2026-04-14,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-14,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-14,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-15,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-15,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-15,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-16,continuation_compare,1,0,0,0,0,,0.0,,,0,0,0,,
2026-04-16,reclaim_first5_high,1,0,0,0,0,,0.0,,,0,0,0,,
2026-04-16,reclaim_vwap,1,0,0,0,0,,0.0,,,0,0,0,,
2026-04-17,continuation_compare,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-17,reclaim_first5_high,0,0,0,0,0,,0.0,,,0,0,0,,
2026-04-17,reclaim_vwap,0,0,0,0,0,,0.0,,,0,0,0,,
